filename,filepath,split,label,peak_freq_1,peak_freq_2,peak_freq_3,spectral_centroid,spectral_bandwidth,spectral_rolloff_85,spectral_rolloff_95,spectral_flatness,total_energy,low_mid_ratio,high_mid_ratio,low_high_ratio,band_0_250,band_0_500,band_250_500,band_500_1000,band_1000_2000,band_2000_3000,band_3000_4000,band_4000_6000,band_6000_8000
Can_Train3_impact_118.wav,extracted_audiofinal/train/can/Can_Train3_impact_118.wav,train,can,1246.09375,253.90625,1578.125,2004.931368286608,1663.600039791458,1832.03125,2414.0625,0.3680235669230815,178767.57873615954,0.30037777890831746,0.015077716847094118,19.921966922038486,0.036901055148043406,0.10224293980116449,0.06534188465312109,0.1261021314743494,0.683165981138389,0.07009677869348227,0.006930194771380228,0.004416081682693977,0.007045892437477494
Can_Train2_impact_064.wav,extracted_audiofinal/train/can/Can_Train2_impact_064.wav,train,can,492.1875,707.03125,324.21875,2668.1858747790952,2211.9739784003837,3773.4375,6089.84375,0.5122617700989164,49367.67631468621,1.9094647858503835,0.32133177349651887,5.94234663803397,0.03264653664202277,0.26405159620945623,0.23140505956743349,0.326968219171057,0.12307872195783717,0.03529773883918744,0.15114473046514107,0.046046067579104,0.05341292577605611
Can_Train1_impact_045.wav,extracted_audiofinal/train/can/Can_Train1_impact_045.wav,train,can,1089.84375,644.53125,2046.875,1775.6979314939458,1377.0762030988574,1171.875,2074.21875,0.3017553916696435,120418.82778256296,0.10972477092084819,0.00278947860010499,39.33522434644905,0.013998062981850981,0.03395017023991254,0.019952107258061565,0.06467757406003292,0.821963164378456,0.07009737664997824,0.006804350292412282,0.002007554132815552,0.0004998102461885952
Can_Train3_impact_033.wav,extracted_audiofinal/train/can/Can_Train3_impact_033.wav,train,can,390.625,746.09375,1121.09375,1953.6205476861046,1841.8037692374937,1234.375,2363.28125,0.4105995894728463,105547.77748633189,2.474571773762811,0.05043957057999491,49.06012735664551,0.002130396648728691,0.4848138891167719,0.4826834924680432,0.21719002868100046,0.22447968786169312,0.05095523522506361,0.008252107127305196,0.009373861730565985,0.0049351902575892935
Can_Train1_impact_008.wav,extracted_audiofinal/train/can/Can_Train1_impact_008.wav,train,can,250.0,1605.46875,1167.96875,2017.502088831507,1676.2041830429266,1722.65625,2414.0625,0.3575827342136325,155176.50205979103,0.33893091189173535,0.02204882956222787,15.37183227087423,0.03225629978521664,0.12763831598599099,0.09538201620077433,0.12139618585263141,0.6698507919473013,0.05890259061481719,0.00601141187562898,0.0052290382515337444,0.010971665471554431
Can_Train1_impact_018.wav,extracted_audiofinal/train/can/Can_Train1_impact_018.wav,train,can,847.65625,1234.375,1132.8125,1789.9166592932281,1493.732437872292,1300.78125,1828.125,0.31410434393809,139589.76666389062,1.3306894450489288,0.0122705644708235,108.44565649808614,0.001767489639757763,0.02939207375545003,0.02762458411569227,0.5385601916572843,0.3971317435437131,0.024671237386668227,0.005007547546292677,0.00346397844244354,0.0017732276652827942
Can_Train3_impact_097.wav,extracted_audiofinal/train/can/Can_Train3_impact_097.wav,train,can,378.90625,1234.375,757.8125,1367.4681049275518,1505.626972084002,1234.375,1281.25,0.23663109184267975,97410.04443727307,3.326339656036593,0.012747533783034134,260.93984918397217,0.010595676686935354,0.6339684751016561,0.6233727984147207,0.1326304686038232,0.21247119196313508,0.01755931109368776,0.00043271556898186463,0.001166167800593898,0.001771669865860082
Can_Train2_impact_025.wav,extracted_audiofinal/train/can/Can_Train2_impact_025.wav,train,can,363.28125,718.75,804.6875,2049.5852581583426,1677.6935458066416,1484.375,3343.75,0.38774291456257826,81294.28282394844,2.141640476284148,0.06410479132986245,33.408430495531434,0.0029982127470249216,0.31224069184443837,0.3092424790974135,0.3558225189582551,0.19303456089593463,0.07448172895290374,0.044423654313802935,0.01746559913812891,0.002531245896276635
Can_Train1_impact_055.wav,extracted_audiofinal/train/can/Can_Train1_impact_055.wav,train,can,367.1875,914.0625,550.78125,1784.3930824136032,1754.50951851799,1214.84375,2164.0625,0.3794017783173219,96860.87978284745,3.3579516581974223,0.04332178775554745,77.5118433022734,0.004424564849385035,0.4636762076568157,0.45925164280743064,0.2992738111857442,0.18191405869708763,0.028195250469884886,0.017097659892350656,0.006107975196670009,0.003735036897831405
Can_Train3_impact_049.wav,extracted_audiofinal/train/can/Can_Train3_impact_049.wav,train,can,2703.125,2414.0625,601.5625,2176.6021705436483,1634.5439867815642,2722.65625,3695.3125,0.41769607720163765,44753.6111973411,0.4645634747841916,0.046620830739907235,9.964718901516154,0.029645365394263646,0.0985623694070729,0.06891700401280926,0.20885445138166422,0.30837905309423874,0.3129974628975934,0.04035613719423305,0.027710980896397654,0.003139545127521705
